model,DeepMiner-Mano-72B (100 steps),opencua-qwen2-7b (100 steps),opencua-32b (15 steps),opencua-32b (50 steps),opencua-72b-preview (100 steps),opencua-72b-preview (15 steps),opencua-72b-preview (50 steps),opencua-7b (100 steps),opencua-7b (15 steps),opencua-7b (50 steps),opencua-a3b (100 steps),opencua-a3b (15 steps),opencua-a3b (50 steps),opencua-qwen2-7b (15 steps),DeepMiner-Mano-7B (100 steps),opencua-qwen2-7b (50 steps),qwen2.5-vl-32b-instruct (100 steps),qwen2.5-vl-32b-instruct (15 steps),qwen2.5-vl-72b-instruct (100 steps),qwen2.5-vl-72b-instruct (15 steps),qwen3-vl-flash-2025-10-25 (100 steps),uitars-1.5-7b (100 steps),uitars-1.5-7b (15 steps),uitars-1.5-7b (50 steps),uitars-72b-dpo (100 steps),uitars-72b-dpo (15 steps),opencua-32b (100 steps),o3 (50 steps),o3 (15 steps),o3 (100 steps),TianXi-Action-7B (50 steps),UI-TARS-2-2509 (100 steps),UI-TARS-250705 (100 steps),agi-0 (50 steps),claude-3-7-sonnet-20250219 (100 steps),claude-3-7-sonnet-20250219 (15 steps),claude-3-7-sonnet-20250219 (50 steps),claude-4-sonnet-20250514 (100 steps),claude-4-sonnet-20250514 (15 steps),claude-4-sonnet-20250514 (50 steps),claude-sonnet-4-5-20250929 (100 steps),claude-sonnet-4-5-20250929 (15 steps),claude-sonnet-4-5-20250929 (50 steps),computer-use-preview (100 steps),computer-use-preview (15 steps),computer-use-preview (50 steps),doubao-1-5-thinking-vision-pro-250428 (100 steps),doubao-1-5-thinking-vision-pro-250428 (15 steps),doubao-1-5-thinking-vision-pro-250717 (100 steps),doubao-1-5-thinking-vision-pro-250717 (15 steps),gui-owl-7b (15 steps),kimi-vl-a3b (100 steps),kimi-vl-a3b (15 steps),uitars-72b-dpo (50 steps),spread
nan,0.539,0.231,0.297,0.341,0.45,0.39,0.449,0.266,0.243,0.282,0.177,0.16899999999999998,0.19899999999999998,0.19899999999999998,0.401,0.20600000000000002,0.039,0.03,,,0.41600000000000004,0.27399999999999997,0.245,0.273,0.271,0.24,0.348,,,,0.298,0.531,0.418,0.654,,,,,,,,,,,,,0.33799999999999997,0.278,0.4,0.319,0.321,0.10300000000000001,0.09699999999999999,0.258,0.624
claude-sonnet-4-5-20250929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.629,0.429,0.581,,,,,,,,,,,,0.2
claude-sonnet-4-20250514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414,0.312,0.439,,,,,,,,,,,,,,,0.127
claude-3-7-sonnet-20250219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35600000000000004,0.271,0.358,,,,,,,,,,,,,,,,,,0.08699999999999997
computer-use-preview-2025-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305,0.26,0.313,,,,,,,,,0.05299999999999999
o3-2025-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172,0.091,0.23,,,,,,,,,,,,,,,,,,,,,,,,,0.139
Qwen2.5-VL-72B-Instruct,,,,,,,,,,,,,,,,,,,0.05,0.044000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005999999999999998
